#group,false,false,true,true,false,true,true,true,false,false,false,false,false,false,false,false,false,false,false
#datatype,string,long,dateTime:RFC3339,dateTime:RFC3339,dateTime:RFC3339,string,string,string,double,double,double,double,double,double,double,double,double,double,double
#default,_result,,,,,,,,,,,,,,,,,,
,result,table,_start,_stop,_time,_measurement,host,topic,altitude,filtered_a,filtered_s,filtered_v,gx,gy,gz,latitude,longitude,state,temperature
,,0,2022-11-23T14:40:56Z,2022-11-23T14:40:59Z,2022-11-23T14:40:57.245711037Z,mqtt_consumer,b3c2aae627c0,esp32/message,1272.416,0.005,1272.445,-0.011,-0.027,-0.005,-0.02,0.31292084,37.51375198,0,33.704
,,0,2022-11-23T14:40:56Z,2022-11-23T14:40:59Z,2022-11-23T14:40:57.303607804Z,mqtt_consumer,b3c2aae627c0,esp32/message,1272.422,0.004,1272.442,-0.011,-0.034,-0.009,-0.02,0.31292084,37.51375198,0,33.704
,,0,2022-11-23T14:40:56Z,2022-11-23T14:40:59Z,2022-11-23T14:40:57.328970764Z,mqtt_consumer,b3c2aae627c0,esp32/message,1272.422,0.004,1272.442,-0.011,-0.034,-0.009,-0.02,0.31292084,37.51375198,0,33.704
,,0,2022-11-23T14:40:56Z,2022-11-23T14:40:59Z,2022-11-23T14:40:57.38956917Z,mqtt_consumer,b3c2aae627c0,esp32/message,1272.422,0.005,1272.442,-0.009,-0.095,0.002,-0.021,0.31292084,37.51375198,0,33.701
,,0,2022-11-23T14:40:56Z,2022-11-23T14:40:59Z,2022-11-23T14:40:57.459577218Z,mqtt_consumer,b3c2aae627c0,esp32/message,1272.422,0.005,1272.442,-0.009,-0.095,0.002,-0.021,0.31292084,37.51375198,0,33.701
,,0,2022-11-23T14:40:56Z,2022-11-23T14:40:59Z,2022-11-23T14:40:57.459608728Z,mqtt_consumer,b3c2aae627c0,esp32/message,1272.553,0.053,1272.594,0.113,0.21,0.07,-0.028,0.31292084,37.51375198,0,33.715
,,0,2022-11-23T14:40:56Z,2022-11-23T14:40:59Z,2022-11-23T14:40:57.483517083Z,mqtt_consumer,b3c2aae627c0,esp32/message,1272.553,0.053,1272.594,0.113,0.21,0.07,-0.028,0.31292084,37.51375198,0,33.715
,,0,2022-11-23T14:40:56Z,2022-11-23T14:40:59Z,2022-11-23T14:40:57.518969978Z,mqtt_consumer,b3c2aae627c0,esp32/message,1272.553,0.053,1272.594,0.113,0.21,0.07,-0.028,0.31292084,37.51375198,0,33.715
,,0,2022-11-23T14:40:56Z,2022-11-23T14:40:59Z,2022-11-23T14:40:57.555245159Z,mqtt_consumer,b3c2aae627c0,esp32/message,1272.56,0.133,1272.851,0.321,0.19,-0.176,-0.015,0.31292084,37.51375198,0,33.709
,,0,2022-11-23T14:40:56Z,2022-11-23T14:40:59Z,2022-11-23T14:40:57.577727376Z,mqtt_consumer,b3c2aae627c0,esp32/message,1272.56,0.133,1272.851,0.321,0.19,-0.176,-0.015,0.31292099,37.51375198,0,33.709
,,0,2022-11-23T14:40:56Z,2022-11-23T14:40:59Z,2022-11-23T14:40:57.60947487Z,mqtt_consumer,b3c2aae627c0,esp32/message,1274.402,0.277,1273.416,0.722,-0.134,0.01,-0.032,0.31292099,37.51375198,0,33.701
,,0,2022-11-23T14:40:56Z,2022-11-23T14:40:59Z,2022-11-23T14:40:57.648517297Z,mqtt_consumer,b3c2aae627c0,esp32/message,1274.402,0.277,1273.416,0.722,-0.134,0.01,-0.032,0.31292099,37.51375198,0,33.701
,,0,2022-11-23T14:40:56Z,2022-11-23T14:40:59Z,2022-11-23T14:40:57.687931989Z,mqtt_consumer,b3c2aae627c0,esp32/message,1274.402,0.432,1274.018,1.154,-0.071,-0.002,-0.013,0.31292099,37.51375198,0,33.701
